N,Comparism,Time(ns),Sort type,Data Type
1000,4932,573900,MergeSort,ascending
2000,10864,246600,MergeSort,ascending
3000,16828,329100,MergeSort,ascending
4000,23728,410000,MergeSort,ascending
5000,29804,529400,MergeSort,ascending
6000,36656,650200,MergeSort,ascending
7000,43628,753600,MergeSort,ascending
8000,51456,834600,MergeSort,ascending
9000,57820,892700,MergeSort,ascending
10000,64608,1123600,MergeSort,ascending
11000,71604,2514100,MergeSort,ascending
12000,79312,1313600,MergeSort,ascending
13000,86580,1498400,MergeSort,ascending
14000,94256,1683900,MergeSort,ascending
15000,102252,1617300,MergeSort,ascending
16000,110912,1006000,MergeSort,ascending
17000,118044,1073100,MergeSort,ascending
18000,124640,1196600,MergeSort,ascending
19000,131652,1166100,MergeSort,ascending
20000,139216,1256500,MergeSort,ascending
21000,146724,1813300,MergeSort,ascending
22000,154208,3651300,MergeSort,ascending
23000,162180,1110000,MergeSort,ascending
24000,170624,980900,MergeSort,ascending
25000,178756,1019200,MergeSort,ascending
26000,186160,1059600,MergeSort,ascending
27000,194164,1115200,MergeSort,ascending
28000,202512,1115700,MergeSort,ascending
29000,211188,1298300,MergeSort,ascending
30000,219504,1318000,MergeSort,ascending
31000,228524,1758800,MergeSort,ascending
32000,237824,2730100,MergeSort,ascending
33000,246876,2302200,MergeSort,ascending
34000,253088,2331700,MergeSort,ascending
35000,260100,3096900,MergeSort,ascending
36000,267280,2288300,MergeSort,ascending
37000,275172,2610200,MergeSort,ascending
38000,282304,3999900,MergeSort,ascending
39000,290324,2423200,MergeSort,ascending
40000,298432,2544800,MergeSort,ascending
41000,307380,2693700,MergeSort,ascending
42000,314448,2468200,MergeSort,ascending
43000,322468,2549200,MergeSort,ascending
44000,330416,3276500,MergeSort,ascending
45000,339340,3411300,MergeSort,ascending
46000,347360,1698900,MergeSort,ascending
47000,356252,1755600,MergeSort,ascending
48000,365248,1793400,MergeSort,ascending
49000,375076,1904800,MergeSort,ascending
50000,382512,2015600,MergeSort,ascending
51000,390324,2354500,MergeSort,ascending
52000,398320,2051000,MergeSort,ascending
53000,407100,2083500,MergeSort,ascending
54000,415328,2069500,MergeSort,ascending
55000,424028,3543200,MergeSort,ascending
56000,433024,2551200,MergeSort,ascending
57000,442684,2314800,MergeSort,ascending
58000,451376,2235800,MergeSort,ascending
59000,460012,4021900,MergeSort,ascending
60000,469008,2415000,MergeSort,ascending
61000,478596,2441500,MergeSort,ascending
62000,488048,2469400,MergeSort,ascending
63000,497604,2428200,MergeSort,ascending
64000,507648,2826700,MergeSort,ascending
65000,518092,3078500,MergeSort,ascending
66000,526752,2635800,MergeSort,ascending
67000,533180,2670500,MergeSort,ascending
68000,540176,2848000,MergeSort,ascending
69000,547572,2927600,MergeSort,ascending
70000,555200,4632800,MergeSort,ascending
71000,562540,2771700,MergeSort,ascending
72000,570560,2775500,MergeSort,ascending
73000,578860,2899400,MergeSort,ascending
74000,587344,3069000,MergeSort,ascending
75000,594612,3043800,MergeSort,ascending
76000,602608,2948600,MergeSort,ascending
77000,610812,3097900,MergeSort,ascending
78000,619648,3132900,MergeSort,ascending
79000,627820,3178200,MergeSort,ascending
80000,636864,6923800,MergeSort,ascending
81000,645972,4908400,MergeSort,ascending
82000,655760,5096000,MergeSort,ascending
83000,662852,3799300,MergeSort,ascending
84000,670896,3295600,MergeSort,ascending
85000,678956,3987500,MergeSort,ascending
86000,687936,3493400,MergeSort,ascending
87000,695900,3756700,MergeSort,ascending
88000,704832,3620100,MergeSort,ascending
89000,713788,3534900,MergeSort,ascending
90000,723680,5834700,MergeSort,ascending
91000,731884,3817900,MergeSort,ascending
92000,740720,4307400,MergeSort,ascending
93000,749700,3737300,MergeSort,ascending
94000,759504,3836500,MergeSort,ascending
95000,768708,3877300,MergeSort,ascending
96000,778496,3946800,MergeSort,ascending
97000,788452,3971900,MergeSort,ascending
98000,799152,4064800,MergeSort,ascending
99000,807356,5355100,MergeSort,ascending
100000,815024,4055600,MergeSort,ascending
1000,5044,323300,MergeSort,descending
2000,11088,581500,MergeSort,descending
3000,18076,893400,MergeSort,descending
4000,24176,1153200,MergeSort,descending
5000,32004,1475000,MergeSort,descending
6000,39152,1797100,MergeSort,descending
7000,46180,2146000,MergeSort,descending
8000,52352,2353200,MergeSort,descending
9000,60796,2732100,MergeSort,descending
10000,69008,3047000,MergeSort,descending
11000,77012,3441700,MergeSort,descending
12000,84304,2851800,MergeSort,descending
13000,92036,640500,MergeSort,descending
14000,99360,714700,MergeSort,descending
15000,106364,861300,MergeSort,descending
16000,112704,819700,MergeSort,descending
17000,121188,888600,MergeSort,descending
18000,130592,918300,MergeSort,descending
19000,139580,951500,MergeSort,descending
20000,148016,998900,MergeSort,descending
21000,156508,1039500,MergeSort,descending
22000,165024,1101700,MergeSort,descending
23000,173052,1614500,MergeSort,descending
24000,180608,1175800,MergeSort,descending
25000,188476,1223000,MergeSort,descending
26000,197072,1270900,MergeSort,descending
27000,205068,1335800,MergeSort,descending
28000,212720,1380000,MergeSort,descending
29000,220044,1637200,MergeSort,descending
30000,227728,1777600,MergeSort,descending
31000,234708,1934500,MergeSort,descending
32000,241408,1567900,MergeSort,descending
33000,248588,1601800,MergeSort,descending
34000,259376,1632500,MergeSort,descending
35000,269364,1720700,MergeSort,descending
36000,279184,1830200,MergeSort,descending
37000,288292,1878200,MergeSort,descending
38000,298160,1990000,MergeSort,descending
39000,307140,4023000,MergeSort,descending
40000,316032,1967100,MergeSort,descending
41000,324084,2529100,MergeSort,descending
42000,334016,2073400,MergeSort,descending
43000,342996,2222900,MergeSort,descending
44000,352048,2319200,MergeSort,descending
45000,360124,2263200,MergeSort,descending
46000,369104,2408000,MergeSort,descending
47000,377212,2408100,MergeSort,descending
48000,385216,2440500,MergeSort,descending
49000,392388,2447800,MergeSort,descending
50000,401952,2621800,MergeSort,descending
51000,411140,2843900,MergeSort,descending
52000,420144,2884600,MergeSort,descending
53000,428364,2956500,MergeSort,descending
54000,437136,3527400,MergeSort,descending
55000,445436,3035600,MergeSort,descending
56000,453440,3012500,MergeSort,descending
57000,460780,3113100,MergeSort,descending
58000,469088,6029100,MergeSort,descending
59000,477452,4596800,MergeSort,descending
60000,485456,4729400,MergeSort,descending
61000,492868,4600100,MergeSort,descending
62000,500416,4722000,MergeSort,descending
63000,507860,5060000,MergeSort,descending
64000,514816,6688800,MergeSort,descending
65000,521372,3596900,MergeSort,descending
66000,530176,3508900,MergeSort,descending
67000,541748,3469500,MergeSort,descending
68000,552752,5460200,MergeSort,descending
69000,563356,3457400,MergeSort,descending
70000,573728,3505300,MergeSort,descending
71000,584388,3955900,MergeSort,descending
72000,594368,4671600,MergeSort,descending
73000,604068,3610700,MergeSort,descending
74000,613584,3880000,MergeSort,descending
75000,624316,5620500,MergeSort,descending
76000,634320,4154300,MergeSort,descending
77000,644116,3772900,MergeSort,descending
78000,653280,4080200,MergeSort,descending
79000,663108,4343900,MergeSort,descending
80000,672064,4315000,MergeSort,descending
81000,680956,4395100,MergeSort,descending
82000,689168,4326500,MergeSort,descending
